source	target	direction	stimulation	inhibition	sources	references
Q9BVC4	P42345	1	0	0	ARN;DIP;HPRD;InnateDB;IntAct;KEGG;PhosphoPoint;SPIKE;Wang	ARN:12408816;ARN:12718876;ARN:15066126;ARN:15268862;ARN:16919458;ARN:17277771;ARN:17461779;ARN:18030348;ARN:18614546;ARN:20562859;DIP:23636326;HPRD:12718876;HPRD:15066126;InnateDB:12718876;InnateDB:15066126;InnateDB:15268862;InnateDB:16919458;InnateDB:17277771;InnateDB:17461779;InnateDB:18030348;InnateDB:18614546;IntAct:12408816;IntAct:23636326;SPIKE:12718876
Q96B36	Q8N122	1	0	1	InnateDB;KEGG;SPIKE;Wang	InnateDB:17517883;InnateDB:17604271;InnateDB:18030348;InnateDB:18215133;SPIKE:17386266;SPIKE:17510057;SPIKE:18030348
P42345	Q96B36	1	0	1	HPRD;HPRD_MIMP;InnateDB;KEGG;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	HPRD:17277771;InnateDB:17277771;InnateDB:17386266;InnateDB:17517883;InnateDB:17604271;InnateDB:18030348;InnateDB:18570873;InnateDB:19114562;PhosphoSite:17517883;PhosphoSite:26876939;ProtMapper:17517883;ProtMapper:18372248;ProtMapper:26876939;ProtMapper:28978182;SIGNOR:17517883;SPIKE:17386266;SPIKE:17510057;SPIKE:17517883;SPIKE:17604271;SPIKE:18030348;SPIKE:18372248;iPTMnet:17517883
Q96B36	P42345	1	0	0	HPRD;InnateDB;KEGG;SPIKE;Wang	HPRD:17277771;InnateDB:17277771;InnateDB:17386266;InnateDB:17517883;InnateDB:17604271;InnateDB:18030348;InnateDB:18570873;InnateDB:19114562;SPIKE:17386266;SPIKE:17510057;SPIKE:17517883;SPIKE:18030348
Q07817	Q12983	1	0	0	HPRD;KEGG;Lit-BM-17	HPRD:10625696;Lit-BM-17:10625696
Q12983	Q07817	1	0	1	HPRD;KEGG;Lit-BM-17;SPIKE;Wang	HPRD:10625696;Lit-BM-17:10625696;SPIKE:10625696
Q92851	P55957	1	1	0	HPRD;KEGG;SPIKE	HPRD:15772077;SPIKE:16186808
Q12967	P11233	1	1	0	CA1;KEGG;KEGG-MEDICUS;SPIKE;Wang	CA1:8094051;SPIKE:20478380
Q15311	P60953	1	0	1	CA1;KEGG;SPIKE;Wang	CA1:7623849;SPIKE:21686269
Q15311	P63000	1	0	1	CA1;HPRD;KEGG;SIGNOR;SPIKE;Wang	CA1:9395447;HPRD:7673236;SIGNOR:32203420;SPIKE:21686269
P10721	P62993	1	1	0	BioGRID;DIP;HPRD;InnateDB;IntAct;KEGG;KEGG-MEDICUS;Lit-BM-17;NetPath;PhosphoPoint;SIGNOR;SPIKE;Wang	BioGRID:17904548;BioGRID:7523859;DIP:8950973;HPRD:10377264;InnateDB:8647802;IntAct:10377264;IntAct:24728074;IntAct:7523381;Lit-BM-17:10022833;Lit-BM-17:10377264;Lit-BM-17:17452978;Lit-BM-17:17904548;Lit-BM-17:24728074;Lit-BM-17:7523381;Lit-BM-17:8647802;Lit-BM-17:8950973;NetPath:17904548;NetPath:8647802;SIGNOR:10377264;SIGNOR:17306385;SPIKE:10022833;SPIKE:10377264;SPIKE:16713569
P04626	P62993	1	1	0	DOMINO;HPRD;IntAct;KEGG;Li2012;Lit-BM-17;PhosphoPoint;SIGNOR;SPIKE;Wang	DOMINO:16273093;DOMINO:16729043;HPRD:11173924;HPRD:11606575;HPRD:16729043;IntAct:16273093;IntAct:16729043;IntAct:21278786;IntAct:24658140;Lit-BM-17:11606575;Lit-BM-17:16273093;Lit-BM-17:16729043;Lit-BM-17:17875712;Lit-BM-17:24189400;Lit-BM-17:24658140;Lit-BM-17:9710588;Lit-BM-17:9756944;SIGNOR:14967450;SIGNOR:17306385;SPIKE:11173924;SPIKE:16273093;SPIKE:16713569
Q13490	P42574	1	0	1	ACSN;BioGRID;CA1;HPRD;InnateDB;KEGG;Macrophage;SPIKE;Wang	ACSN:11106668;BioGRID:11106668;CA1:9384571;HPRD:11084335;HPRD:9384571;InnateDB:17069460;Macrophage:11382748;Macrophage:9384571;SPIKE:11106668;SPIKE:12042762;SPIKE:9384571;SPIKE:9990849
Q07820	O43521	1	0	1	BioGRID;ELM;HPRD;InnateDB;IntAct;KEGG;Lit-BM-17;ProtMapper;REACH_ProtMapper;SPIKE;Wang	BioGRID:19622586;BioGRID:20074640;ELM:17389404;HPRD:10837489;HPRD:16213503;InnateDB:15014070;IntAct:16213503;IntAct:16697956;IntAct:17525735;IntAct:21507240;IntAct:26859456;Lit-BM-17:10837489;Lit-BM-17:15694340;Lit-BM-17:15989957;Lit-BM-17:16213503;Lit-BM-17:16697956;Lit-BM-17:17097560;Lit-BM-17:17525735;Lit-BM-17:19148187;Lit-BM-17:19150432;Lit-BM-17:19622586;Lit-BM-17:20074640;Lit-BM-17:20085765;Lit-BM-17:20159608;Lit-BM-17:20836993;Lit-BM-17:21199865;Lit-BM-17:21507240;Lit-BM-17:21613222;Lit-BM-17:22516262;Lit-BM-17:23245996;Lit-BM-17:26045051;Lit-BM-17:26186194;Lit-BM-17:26859456;Lit-BM-17:27013495;Lit-BM-17:9731710;ProtMapper:23977393;SPIKE:15694340;SPIKE:9731710
Q15382	P42345	1	1	0	ACSN;ARN;BioGRID;HPRD;InnateDB;KEGG;KEGG-MEDICUS;PhosphoPoint;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;SignaLink3;Sparser_ProtMapper;Wang	ACSN:12906785;ACSN:15854902;ACSN:16636147;ACSN:17604271;ACSN:18466115;ACSN:19143635;ACSN:19299511;ARN:15854902;ARN:15878852;ARN:16098514;ARN:17470430;ARN:18550814;BioGRID:15772076;BioGRID:15878852;BioGRID:16098514;HPRD:15854902;HPRD:15878852;HPRD:16098514;HPRD:16631613;InnateDB:15854902;InnateDB:15878852;InnateDB:16098514;InnateDB:17470430;InnateDB:18550814;ProtMapper:18670866;ProtMapper:19487463;ProtMapper:23272152;SIGNOR:15854902;SIGNOR:20006481;SPIKE:15854902;SPIKE:16098514;SPIKE:18075516;SignaLink3:15854902;SignaLink3:20226003;SignaLink3:21071413;SignaLink3:23331499
P49815	Q15382	1	0	1	ACSN;ARN;BioGRID;HPRD;InnateDB;KEGG;SIGNOR;SPIKE;SignaLink3;Wang	ACSN:16636147;ACSN:17680028;ACSN:20146692;ARN:12906785;ARN:15854902;BioGRID:12771962;BioGRID:12820960;BioGRID:12869586;HPRD:12842888;InnateDB:15854902;SIGNOR:15340059;SPIKE:12771962;SPIKE:12869586;SignaLink3:12842888;SignaLink3:15854902;SignaLink3:20226003;SignaLink3:21071413;SignaLink3:23331499
O15519	Q92851	1	0	1	HPRD;IntAct;KEGG;Lit-BM-17;NetPath;SPIKE;Wang	HPRD:9208847;HPRD:9228018;HPRD:9289491;IntAct:23541952;IntAct:25241761;Lit-BM-17:12887920;Lit-BM-17:21737330;Lit-BM-17:23541952;Lit-BM-17:25241761;Lit-BM-17:9228018;Lit-BM-17:9289491;NetPath:12887920;SPIKE:9228018;SPIKE:9289491
Q14790	P42574	1	1	0	ACSN;CA1;DIP;HPRD;HPRD-phos;InnateDB;KEGG;KEGG-MEDICUS;Macrophage;SIGNOR;SPIKE;Wang	ACSN:15755874;ACSN:23308069;ACSN:9765224;CA1:8962078;DIP:18669646;HPRD-phos:11437602;HPRD:11437602;InnateDB:15014070;InnateDB:17179148;InnateDB:18458084;InnateDB:9208847;Macrophage:9501089;Macrophage:9765224;Macrophage:9885230;Macrophage:9950028;SIGNOR:16964285;SIGNOR:21295084;SPIKE:11437602;SPIKE:9765224;SPIKE:9922454
Q92851	P42574	1	1	0	HPRD;InnateDB;KEGG;SPIKE;Wang	HPRD:8755496;InnateDB:8755496;SPIKE:11717445;SPIKE:9765224;SPIKE:9922454
Q15382	Q9BVC4	1	1	0	ACSN;ARN;InnateDB;KEGG;SPIKE;Wang	ACSN:12906785;ACSN:15854902;ACSN:16636147;ACSN:17604271;ACSN:18466115;ACSN:19143635;ACSN:19299511;ARN:15854902;ARN:15878852;ARN:17470430;InnateDB:15854902;InnateDB:15878852;InnateDB:17470430;SPIKE:12718876
P45983	P10415	1	0	1	ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:10677502;ACSN:11323415;ACSN:9115213;ACSN:9738012;HPRD-phos:10567572;HPRD-phos:12039864;HPRD-phos:15225643;HPRD:10567572;HPRD:12039864;HPRD:15225643;InnateDB:15733859;KEA:10567572;KEA:11323415;KEA:12039864;KEA:15225643;PhosphoSite:10567572;PhosphoSite:12421819;PhosphoSite:15703383;PhosphoSite:16738310;PhosphoSite:17097560;ProtMapper:10567572;ProtMapper:11323415;ProtMapper:18570871;ProtMapper:20919655;ProtMapper:21726807;ProtMapper:21993018;ProtMapper:22848813;ProtMapper:23329792;ProtMapper:26609913;ProtMapper:29950132;SIGNOR:10567572;SIGNOR:18570871;SPIKE:18471544;SPIKE:18570871;SPIKE:19029119;dbPTM:18570871;iPTMnet:10567572;iPTMnet:12039864;iPTMnet:15225643;iPTMnet:18570871;phosphoELM:10567572
P04049	Q02750	1	1	0	ACSN;BEL-Large-Corpus_ProtMapper;BioGRID;CancerCellMap;DIP;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;KEGG;KEGG-MEDICUS;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:7565670;ACSN:9069260;BioGRID:20956560;BioGRID:23055494;CancerCellMap:9677429;DIP:1326789;DIP:17724343;DIP:23934108;HPRD-phos:10409742;HPRD-phos:11684694;HPRD-phos:18691976;HPRD-phos:7731720;HPRD-phos:8157000;HPRD-phos:8394352;HPRD-phos:8621729;HPRD:11604401;HPRD:16093354;HPRD:7731720;HPRD:8157000;HPRD:8394352;HPRD:8621729;IntAct:17724343;IntAct:17979178;IntAct:19197339;IntAct:23934108;IntAct:24746704;KEA:10409742;KEA:10567369;KEA:11684694;KEA:12594221;KEA:15175348;KEA:15466476;KEA:17192257;KEA:7624324;KEA:7731720;KEA:7873542;KEA:7936666;KEA:8039496;KEA:8131746;KEA:8157000;KEA:8394352;KEA:8621729;KEA:9351825;KEA:94178255;Lit-BM-17:10757792;Lit-BM-17:10958680;Lit-BM-17:1326789;Lit-BM-17:15485920;Lit-BM-17:15866172;Lit-BM-17:16093354;Lit-BM-17:17724343;Lit-BM-17:17979178;Lit-BM-17:18556463;Lit-BM-17:19058874;Lit-BM-17:19197339;Lit-BM-17:20212043;Lit-BM-17:21336309;Lit-BM-17:24746704;Lit-BM-17:25155755;Lit-BM-17:26496610;Lit-BM-17:9311917;NetPath:10677502;NetPath:9677429;ProtMapper:10327068;ProtMapper:10359597;ProtMapper:10567369;ProtMapper:10969079;ProtMapper:10976102;ProtMapper:11042690;ProtMapper:11136732;ProtMapper:11948406;ProtMapper:11948414;ProtMapper:12695496;ProtMapper:12750173;ProtMapper:12876277;ProtMapper:12907640;ProtMapper:12920017;ProtMapper:1330321;ProtMapper:15342917;ProtMapper:15466214;ProtMapper:16129686;ProtMapper:16407412;ProtMapper:18799465;ProtMapper:19219045;ProtMapper:19541618;ProtMapper:23360980;ProtMapper:23728975;ProtMapper:27169363;ProtMapper:7624324;ProtMapper:7898932;ProtMapper:7992057;ProtMapper:8090753;ProtMapper:8131746;ProtMapper:8223433;ProtMapper:8248196;ProtMapper:8394352;ProtMapper:8503013;ProtMapper:8607979;ProtMapper:8621729;ProtMapper:8933152;ProtMapper:9032297;SIGNOR:10359597;SIGNOR:11018021;SPIKE:11604401;SPIKE:16093354;SPIKE:17053865;SPIKE:18337766;SPIKE:7731720;SPIKE:8157000;SPIKE:8394352;SPIKE:8621729;SignaLink3:10757792;SignaLink3:11242034;SignaLink3:11604401;SignaLink3:15485920;SignaLink3:16093354;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7731720;SignaLink3:8157000;SignaLink3:8394352;SignaLink3:8621729;dbPTM:17192257;dbPTM:8131746;iPTMnet:10359597;iPTMnet:10409742;iPTMnet:11684694;iPTMnet:18691976;iPTMnet:7731720;iPTMnet:8131746;iPTMnet:8157000;iPTMnet:8394352;iPTMnet:8621729;phosphoELM:8131746
Q02750	P04049	1	0	0	BioGRID;CancerCellMap;DIP;HPRD;HPRD_MIMP;IntAct;KEGG;Lit-BM-17;MIMP;NetPath;PhosphoPoint;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Sparser_ProtMapper;Wang;phosphoELM_MIMP	BioGRID:20956560;BioGRID:23055494;CancerCellMap:9677429;DIP:1326789;DIP:17724343;DIP:23934108;HPRD:11604401;HPRD:16093354;HPRD:7731720;HPRD:8157000;HPRD:8394352;HPRD:8621729;IntAct:17724343;IntAct:17979178;IntAct:19197339;IntAct:23934108;IntAct:24746704;Lit-BM-17:10757792;Lit-BM-17:10958680;Lit-BM-17:1326789;Lit-BM-17:15485920;Lit-BM-17:15866172;Lit-BM-17:16093354;Lit-BM-17:17724343;Lit-BM-17:17979178;Lit-BM-17:18556463;Lit-BM-17:19058874;Lit-BM-17:19197339;Lit-BM-17:20212043;Lit-BM-17:21336309;Lit-BM-17:24746704;Lit-BM-17:25155755;Lit-BM-17:26496610;Lit-BM-17:9311917;NetPath:10677502;NetPath:9677429;ProtMapper:23360980
P41279	Q99558	1	1	0	HPRD;HPRD_KEA;InnateDB;KEA;KEGG;NetPath;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;iPTMnet;phosphoELM_KEA	HPRD:10072079;HPRD:11278268;HPRD:9742107;InnateDB:10072079;KEA:11278268;KEA:9742107;NetPath:10072079;ProtMapper:9742107;SIGNOR:9742107;SPIKE:10072079;SPIKE:18439422;iPTMnet:11278268;iPTMnet:9742107
